Salary1,Salary2,Job_Type,Skill,No_of_Skills,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Revenue,Employees,Industry
80000-99999,90000,data_scientist,"Linux, Data Mining, Machine Learning, R, SAS, SQL, Natural Language Processing, Python",8,663,4,25,PA,$1B to $5B ,"10,000+",Education and Schools
80000-99999,90000,data_scientist,"Machine Learning, R, Python, SQL",4,845,3.799999952,30,MA,more than $10B ,"less than 10,000",Banks and Financial Services
80000-99999,90000,data_scientist,"TensorFlow, Hive, Hadoop, R, Python, SQL",6,,,30,VA,,,
80000-99999,90000,data_scientist,"Data Mining, Machine Learning, R, SAS, Data Science, Python, SQL",7,81,3.200000048,29,IL,less than $1B ,"less than 10,000",Consulting and Business Services
80000-99999,90000,data_scientist,"Hive, Machine Learning, R, Python, SQL",5,484,4.300000191,25,UT,$5B to $10B ,"10,000+",Internet and Software
80000-99999,90000,data_scientist,"AI, Data Mining, Microsoft SQL Server, Machine Learning, R, SAS, SQL, Tableau, ACH, Six Sigma, Python, DB2",12,2153,3.700000048,9,NC,less than $1B ,"10,000+",Banks and Financial Services
80000-99999,90000,data_scientist,"JavaScript, Machine Learning, XML, Hadoop, R, SQL, HTML5, Shell Scripting, CSS, Python, AWS",11,,,30,NY,,,
80000-99999,90000,data_scientist,"R, Bioinformatics, SQL, Software Development, NoSQL, Python",6,649,4,30,MA,more than $10B ,"10,000+",Pharmaceuticals
80000-99999,90000,data_scientist,"Certified Internal Auditor, UI",2,502,4.300000191,30,DC,,"10,000+",Government
80000-99999,90000,data_scientist,"NoSQL, Project Management, Python, SQL",4,78,3.700000048,30,CO,,,Government
80000-99999,90000,data_scientist,"Data Mining, ""Drivers License"", SQL",3,33,3.5,30,NE,,"less than 10,000",Media and News and Publishing
80000-99999,90000,data_scientist,"Time Management, Machine Learning, Project Management, R, SAS, SQL, Python",7,126,4.199999809,30,TX,,,Education and Schools
80000-99999,90000,data_scientist,"XML, R, JSON, Git, REST, PostgreSQL, Data Analysis, Python",8,,,30,FL,,,
80000-99999,90000,data_scientist,"JavaScript, Google Analytics, Marketing, Python, SQL, Tableau",6,2,2.5,30,NY,,,
