,Paired Skills,Salary
662,"Kafka,Scala",78287
663,"Cassandra,Scala",78287
664,"Scala,TensorFlow",78287
665,"Python,S3",78205
666,"HBase,Scala",78184
667,"AWS,SQL",78135
668,"Data Science,SPSS",78123
669,"Business Intelligence,SPSS",78104
670,"AWS,Hadoop",78052
671,"Natural Language Processing,Scala",78003
672,"Business Intelligence,Scripting",78002
673,"Azure,JavaScript",77999
674,"SPSS,Tableau",77980
675,"Data Analysis,Microsoft Office",77951
676,"Data Analysis,Scripting",77895
677,"AWS,Business Intelligence",77883
678,"Data Science,Scripting",77770
679,"SPSS,TensorFlow",77742
680,SPSS,77742
681,"Kafka,SPSS",77742
682,"Cassandra,SPSS",77742
683,"Big Data,Linux",77729
684,"Perl,Python",77728
685,"Hive,Project Management",77723
686,"Linux,MongoDB",77710
687,"Data Analysis,NoSQL",77680
688,"HBase,SPSS",77639
689,"AWS,R",77630
690,"AI,C/C++",77570
691,"Scripting,Tableau",77562
692,"JavaScript,MySQL",77501
693,"Data Warehouse,JavaScript",77480
694,"Perl,SQL",77450
695,"Hadoop,Perl",77430
696,"Data Science,Microsoft Office",77421
697,"Data Warehouse,Tableau",77399
698,"Scripting,TensorFlow",77388
699,"Kafka,Scripting",77388
700,Scripting,77388
701,"Cassandra,Scripting",77388
702,"Java,Scala",77329
703,"HBase,Scripting",77286
704,"JavaScript,Project Management",77280
705,"AI,R",77232
706,"AWS,C/C++",77224
707,"Natural Language Processing,SPSS",77207
708,"Data Science,NoSQL",77150
709,"Business Intelligence,NoSQL",77132
710,"Cassandra,Microsoft Office",77040
711,"Microsoft Office,TensorFlow",77040
712,Microsoft Office,77040
713,"Kafka,Microsoft Office",77040
714,"Excel,SQL",77019
715,"Data Warehouse,SQL",77014
716,"NoSQL,Tableau",77008
717,"PostgreSQL,SAS",76974
718,"HBase,Microsoft Office",76937
719,"S3,SQL",76866
720,"Natural Language Processing,Scripting",76854
721,"Java,SPSS",76783
722,"Cassandra,NoSQL",76769
723,"NoSQL,TensorFlow",76769
724,"Kafka,NoSQL",76769
725,NoSQL,76769
726,"Excel,Oracle",76734
727,"Azure,Python",76694
728,"HBase,NoSQL",76666
729,"Hadoop,S3",76663
730,"Data Warehouse,Python",76604
731,"Business Intelligence,Data Analysis",76582
732,"AI,Data Analysis",76546
733,"Microsoft Office,Natural Language Processing",76505
734,"Java,Scripting",76430
735,"AWS,S3",76386
736,"Azure,SQL",76332
737,"Big Data,Scala",76306
738,"MongoDB,Scala",76287
739,"Perl,R",76265
740,"Azure,Hadoop",76249
741,"Oracle,Project Management",76234
742,"Natural Language Processing,NoSQL",76234
743,"AWS,Data Analysis",76199
744,"C/C++,S3",76116
745,"Java,Microsoft Office",76081
746,"MongoDB,SPSS",76060
747,"Data Science,Perl",76052
748,"AI,Data Science",76016
749,"C/C++,Perl",76012
750,"AI,Business Intelligence",75997
751,"AI,Tableau",75873
752,"MySQL,SQL",75833
753,"Java,NoSQL",75811
754,"Excel,Spark",75794
755,"Big Data,SPSS",75760
756,"Hadoop,MySQL",75750
757,"MongoDB,Scripting",75747
758,"Data Warehouse,Hadoop",75729
759,"Linux,Scala",75699
760,"AWS,Data Science",75670
761,"AI,TensorFlow",75635
762,"AI,Kafka",75635
763,AI,75635
764,"AI,Cassandra",75635
765,"R,S3",75617
766,"Data Analysis,Perl",75578
767,"AI,HBase",75532
