Id,Source,Target,Type,Weight,nodes,links
435,Linux,AWS,Directed,4,"opts.GraphNode(name=""AWS"",symbol_size=4),","opts.GraphLink(source=""Linux"", target=""AWS""),"
436,Linux,Oracle,Directed,2,"opts.GraphNode(name=""Oracle"",symbol_size=2),","opts.GraphLink(source=""Linux"", target=""Oracle""),"
437,Linux,Data Warehouse,Directed,4,"opts.GraphNode(name=""Data Warehouse"",symbol_size=4),","opts.GraphLink(source=""Linux"", target=""Data Warehouse""),"
438,Linux,Linux,Directed,22,"opts.GraphNode(name=""Linux"",symbol_size=22),","opts.GraphLink(source=""Linux"", target=""Linux""),"
439,Linux,Microsoft Office,Directed,2,"opts.GraphNode(name=""Microsoft Office"",symbol_size=2),","opts.GraphLink(source=""Linux"", target=""Microsoft Office""),"
440,Linux,Excel,Directed,12,"opts.GraphNode(name=""Excel"",symbol_size=12),","opts.GraphLink(source=""Linux"", target=""Excel""),"
441,Linux,JavaScript,Directed,2,"opts.GraphNode(name=""JavaScript"",symbol_size=2),","opts.GraphLink(source=""Linux"", target=""JavaScript""),"
442,Linux,Perl,Directed,2,"opts.GraphNode(name=""Perl"",symbol_size=2),","opts.GraphLink(source=""Linux"", target=""Perl""),"
443,AI,Python,Directed,32,"opts.GraphNode(name=""Python"",symbol_size=32),","opts.GraphLink(source=""AI"", target=""Python""),"
444,AI,SQL,Directed,68,"opts.GraphNode(name=""SQL"",symbol_size=68),","opts.GraphLink(source=""AI"", target=""SQL""),"
445,AI,Machine Learning,Directed,10,"opts.GraphNode(name=""Machine Learning"",symbol_size=10),","opts.GraphLink(source=""AI"", target=""Machine Learning""),"
446,AI,R,Directed,114,"opts.GraphNode(name=""R"",symbol_size=114),","opts.GraphLink(source=""AI"", target=""R""),"
447,AI,Java,Directed,6,"opts.GraphNode(name=""Java"",symbol_size=6),","opts.GraphLink(source=""AI"", target=""Java""),"
448,AI,Tableau,Directed,34,"opts.GraphNode(name=""Tableau"",symbol_size=34),","opts.GraphLink(source=""AI"", target=""Tableau""),"
449,AI,SAS,Directed,18,"opts.GraphNode(name=""SAS"",symbol_size=18),","opts.GraphLink(source=""AI"", target=""SAS""),"
450,AI,Big Data,Directed,4,"opts.GraphNode(name=""Big Data"",symbol_size=4),","opts.GraphLink(source=""AI"", target=""Big Data""),"
451,AI,AWS,Directed,6,"opts.GraphNode(name=""AWS"",symbol_size=6),","opts.GraphLink(source=""AI"", target=""AWS""),"
452,AI,C/C++,Directed,2,"opts.GraphNode(name=""C/C++"",symbol_size=2),","opts.GraphLink(source=""AI"", target=""C/C++""),"
453,AI,Natural Language Processing,Directed,2,"opts.GraphNode(name=""Natural Language Processing"",symbol_size=2),","opts.GraphLink(source=""AI"", target=""Natural Language Processing""),"
454,AI,Oracle,Directed,12,"opts.GraphNode(name=""Oracle"",symbol_size=12),","opts.GraphLink(source=""AI"", target=""Oracle""),"
455,AI,Data Warehouse,Directed,2,"opts.GraphNode(name=""Data Warehouse"",symbol_size=2),","opts.GraphLink(source=""AI"", target=""Data Warehouse""),"
456,AI,AI,Directed,122,"opts.GraphNode(name=""AI"",symbol_size=122),","opts.GraphLink(source=""AI"", target=""AI""),"
457,AI,TensorFlow,Directed,2,"opts.GraphNode(name=""TensorFlow"",symbol_size=2),","opts.GraphLink(source=""AI"", target=""TensorFlow""),"
459,AI,MATLAB,Directed,2,"opts.GraphNode(name=""MATLAB"",symbol_size=2),","opts.GraphLink(source=""AI"", target=""MATLAB""),"
