,loc
403,"[40.7493074, -73.9794185]"
404,"[40.85048545, -73.8404035580209]"
405,"[40.7127281, -74.0060152]"
406,"[40.7607161, -73.9669623]"
407,"[40.7127281, -74.0060152]"
408,"[34.220389, 70.3800314]"
409,"[40.7607161, -73.9669623]"
410,"[40.7127281, -74.0060152]"
411,"[34.220389, 70.3800314]"
412,"[34.220389, 70.3800314]"
413,"[40.7127281, -74.0060152]"
414,"[40.7127281, -74.0060152]"
415,"[40.7127281, -74.0060152]"
416,"[40.7607161, -73.9669623]"
417,"[40.77851305, -73.9819370869743]"
418,"[40.72982535, -73.9607519781549]"
419,"[40.7127281, -74.0060152]"
420,"[40.7127281, -74.0060152]"
421,"[34.220389, 70.3800314]"
422,"[40.7579089, -73.9854044]"
423,"[34.220389, 70.3800314]"
424,"[40.7607161, -73.9669623]"
425,"[40.7127281, -74.0060152]"
426,"[40.7127281, -74.0060152]"
427,"[40.8058, -73.967835]"
428,"[40.7127281, -74.0060152]"
429,"[40.7607161, -73.9669623]"
430,"[40.7555755, -73.97503]"
431,"[34.220389, 70.3800314]"
432,"[40.7127281, -74.0060152]"
433,"[34.220389, 70.3800314]"
434,"[40.7127281, -74.0060152]"
435,"[40.7546485, -73.974771]"
436,"[40.74123595, -73.356691165361]"
437,"[40.7127281, -74.0060152]"
438,"[34.220389, 70.3800314]"
439,"[40.7127281, -74.0060152]"
440,"[40.7127281, -74.0060152]"
441,"[40.7579089, -73.9854044]"
442,"[40.7127281, -74.0060152]"
443,"[40.7127281, -74.0060152]"
444,"[40.7524472, -73.9646461]"
445,"[40.7127281, -74.0060152]"
446,"[40.7127281, -74.0060152]"
447,"[40.6524927, -73.7914214158161]"
448,"[40.7127281, -74.0060152]"
449,"[40.7127281, -74.0060152]"
450,"[40.7607161, -73.9669623]"
451,"[40.7607161, -73.9669623]"
452,"[40.6501038, -73.9495823]"
453,"[40.6501038, -73.9495823]"
454,"[34.220389, 70.3800314]"
455,"[40.7524472, -73.9646461]"
456,"[40.7127281, -74.0060152]"
457,"[34.220389, 70.3800314]"
458,"[40.7127281, -74.0060152]"
459,"[40.6524927, -73.7914214158161]"
460,"[40.72982535, -73.9607519781549]"
461,"[40.77851305, -73.9819370869743]"
462,"[40.7127281, -74.0060152]"
463,"[40.7896239, -73.9598939]"
464,"[40.7644002, -73.998863]"
465,"[40.7607161, -73.9669623]"
466,"[34.220389, 70.3800314]"
467,"[40.6524927, -73.7914214158161]"
468,"[40.7127281, -74.0060152]"
469,"[40.7127281, -74.0060152]"
470,"[40.7127281, -74.0060152]"
471,"[40.7127281, -74.0060152]"
472,"[40.7579089, -73.9854044]"
473,"[40.7896239, -73.9598939]"
474,"[40.7503306739266, -73.9918982475797]"
475,"[40.7127281, -74.0060152]"
476,"[40.7127281, -74.0060152]"
477,"[40.7602435, -74.0028752]"
478,"[40.7127281, -74.0060152]"
479,"[40.7392225, -73.97336]"
480,"[34.220389, 70.3800314]"
481,"[40.7127281, -74.0060152]"
482,"[40.7607161, -73.9669623]"
483,"[40.74123595, -73.356691165361]"
484,"[34.220389, 70.3800314]"
485,"[34.220389, 70.3800314]"
486,"[40.7127281, -74.0060152]"
487,"[40.7644002, -73.998863]"
488,"[40.7127281, -74.0060152]"
489,"[40.6524927, -73.7914214158161]"
490,"[40.7644002, -73.998863]"
491,"[34.220389, 70.3800314]"
492,"[40.7127281, -74.0060152]"
